min,mean,max,learning_rate,inertia,ff,opt,sp
[-2.45985225],[ 9.89659189],[ 12.24511673],0.012649110640673518,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 9.86412134],[ 12.24511624],0.012649110640673518,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 9.88698894],[ 12.24511609],0.012649110640673518,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 9.93829444],[ 12.24511607],0.012649110640673518,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 9.97497767],[ 12.24511565],0.012649110640673518,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 9.99724981],[ 12.24511473],0.012649110640673518,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 9.94043777],[ 12.24511736],0.022493653007613964,0.0,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 9.93398766],[ 12.24511732],0.022493653007613964,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 9.92895039],[ 12.24511727],0.022493653007613964,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 9.91995563],[ 12.24511718],0.022493653007613964,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 10.05017411],[ 12.24511743],0.022493653007613964,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 10.02297824],[ 12.24511726],0.022493653007613964,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 10.10720922],[ 12.2451173],0.022493653007613964,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 10.14520205],[ 12.2451171],0.022493653007613964,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 10.21895849],[ 12.24511688],0.022493653007613964,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 10.33940961],[ 12.24511698],0.022493653007613964,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 11.95426635],[ 12.2450807],0.040000000000000001,0.0,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 11.95262738],[ 12.24503523],0.040000000000000001,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 11.95121788],[ 12.24496564],0.040000000000000001,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 11.94831211],[ 12.24467841],0.040000000000000001,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 11.94099134],[ 12.2424836],0.040000000000000001,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 11.90894174],[ 12.20577107],0.040000000000000001,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 11.70050736],[ 12.17788597],0.040000000000000001,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 11.15180083],[ 12.16635379],0.040000000000000001,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 10.1838904],[ 12.15300939],0.040000000000000001,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 8.84323848],[ 12.17598688],0.040000000000000001,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 8.97784354],[ 12.12879539],0.071131176401556917,0.0,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 9.03859725],[ 12.13606631],0.071131176401556917,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 9.00939783],[ 12.13780412],0.071131176401556917,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 8.92858882],[ 12.1388657],0.071131176401556917,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 8.91646993],[ 12.1285646],0.071131176401556917,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 8.41063515],[ 11.97808033],0.071131176401556917,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 8.87909894],[ 12.15474826],0.071131176401556917,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 8.44385836],[ 12.18750648],0.071131176401556917,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 8.23494319],[ 12.20294163],0.071131176401556917,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 8.04460616],[ 12.20050114],0.071131176401556917,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 4.5056199],[ 8.93931422],0.12649110640673517,0.0,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 4.45027812],[ 12.08766296],0.12649110640673517,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 5.29521239],[ 12.22123277],0.12649110640673517,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 5.10591217],[ 11.52104],0.12649110640673517,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 4.31565135],[ 8.2258837],0.12649110640673517,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 5.06480718],[ 12.12500639],0.12649110640673517,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 4.55911547],[ 11.73322963],0.12649110640673517,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-7.06726891],[ 4.16619788],[ 11.80039171],0.12649110640673517,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 5.34806554],[ 10.97461277],0.12649110640673517,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 5.05241674],[ 12.17221014],0.12649110640673517,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-7.03828587],[-1.01374828],[ 11.57650243],0.22493653007613965,0.0,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-7.13520915],[-0.848483],[ 11.57650243],0.22493653007613965,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-7.20175941],[-0.72809992],[ 11.57650243],0.22493653007613965,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-7.30575239],[-0.72676333],[ 11.57650243],0.22493653007613965,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-7.46592638],[-0.71862833],[ 11.57650243],0.22493653007613965,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-7.76244664],[-0.10009941],[ 11.57650243],0.22493653007613965,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-8.52443218],[-0.09979479],[ 11.57650243],0.22493653007613965,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-8.82596568],[-0.07863177],[ 11.57650243],0.22493653007613965,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 1.94880818],[ 11.57650243],0.22493653007613965,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-9.28008147],[ 1.2149785],[ 11.57650243],0.22493653007613965,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 1.8242324],[ 9.97589282],0.40000000000000002,0.0,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 0.6697422],[ 11.32334565],0.40000000000000002,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 1.55340441],[ 11.79789689],0.40000000000000002,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 1.07951397],[ 12.00644485],0.40000000000000002,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-7.88003782],[ 1.27807553],[ 11.9444535],0.40000000000000002,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 0.32281743],[ 10.64523775],0.40000000000000002,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-3.57344578],[ 0.71612851],[ 4.56174405],0.40000000000000002,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 0.23783665],[ 6.6904929],0.40000000000000002,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-2.45985225],[ 0.38924601],[ 11.46061834],0.40000000000000002,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[-7.08394597],[ 1.68560732],[ 9.08435812],0.40000000000000002,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  0.63333333]
[ 0.63918548],[ 0.63918548],[ 0.63918548],0.0,0.0,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 0.63918548],[ 0.63918548],0.0,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 0.63918548],[ 0.63918548],0.0,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 0.63918548],[ 0.63918548],0.0,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 0.63918548],[ 0.63918548],0.0,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 0.63918548],[ 0.63918548],0.0,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 0.63918548],[ 0.63918548],0.0,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 0.63918548],[ 0.63918548],0.0,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 0.63918548],[ 0.63918548],0.0,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 0.63918548],[ 0.63918548],0.0,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 9.83182341],[ 12.24140103],0.0040000000000000001,0.0,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 9.82272586],[ 12.24124378],0.0040000000000000001,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 9.81564072],[ 12.24111789],0.0040000000000000001,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 9.80303136],[ 12.2408863],0.0040000000000000001,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 9.78057739],[ 12.2404492],0.0040000000000000001,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 9.74055372],[ 12.23958747],0.0040000000000000001,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 9.66910286],[ 12.23776182],0.0040000000000000001,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 9.54127521],[ 12.23343408],0.0040000000000000001,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 9.31210698],[ 12.22141199],0.0040000000000000001,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 8.90164227],[ 12.1811486],0.0040000000000000001,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 10.85934792],[ 12.24511411],0.007113117640155691,0.0,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 10.85427987],[ 12.24511382],0.007113117640155691,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 10.85033053],[ 12.24511357],0.007113117640155691,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 10.87312274],[ 12.24511446],0.007113117640155691,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 10.86084844],[ 12.24511378],0.007113117640155691,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 10.86821679],[ 12.24511383],0.007113117640155691,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 10.85862497],[ 12.24511284],0.007113117640155691,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 10.79075091],[ 12.24510563],0.007113117640155691,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 10.66771549],[ 12.24507004],0.007113117640155691,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 10.44305979],[ 12.24480693],0.007113117640155691,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 10.9939822],[ 12.24511647],0.012649110640673518,0.0,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 10.98949875],[ 12.24511635],0.012649110640673518,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 10.98600164],[ 12.24511624],0.012649110640673518,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.02663107],[ 12.2451168],0.012649110640673518,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.01590369],[ 12.24511657],0.012649110640673518,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.04126104],[ 12.24511677],0.012649110640673518,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.05050189],[ 12.24511668],0.012649110640673518,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.03361552],[ 12.24511596],0.012649110640673518,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.04895162],[ 12.24511565],0.012649110640673518,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.05296649],[ 12.24511501],0.012649110640673518,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.24489625],[ 12.24511738],0.022493653007613964,0.0,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.24098096],[ 12.24511733],0.022493653007613964,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.23792074],[ 12.2451173],0.022493653007613964,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.2324509],[ 12.24511721],0.022493653007613964,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.29080227],[ 12.24511744],0.022493653007613964,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.27426256],[ 12.24511729],0.022493653007613964,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.3066518],[ 12.24511733],0.022493653007613964,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.31252122],[ 12.24511715],0.022493653007613964,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.32717296],[ 12.24511699],0.022493653007613964,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.82639521],[ 12.2451174],0.022493653007613964,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 12.1757031],[ 12.24510143],0.040000000000000001,0.0,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 12.17504131],[ 12.2450811],0.040000000000000001,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 12.17446117],[ 12.24504963],0.040000000000000001,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 12.17323474],[ 12.24491744],0.040000000000000001,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 12.16998046],[ 12.24386213],0.040000000000000001,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 12.15343476],[ 12.22207577],0.040000000000000001,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.98597646],[ 12.21903113],0.040000000000000001,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 11.46606202],[ 12.22051633],0.040000000000000001,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 10.66299294],[ 12.237013],0.040000000000000001,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 8.93603489],[ 12.04457025],0.040000000000000001,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 8.6327454],[ 12.11629903],0.071131176401556917,0.0,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 9.05950776],[ 12.13473799],0.071131176401556917,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 8.89810127],[ 12.13342348],0.071131176401556917,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 8.57996944],[ 12.13465834],0.071131176401556917,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 8.54762737],[ 12.14078388],0.071131176401556917,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 8.24619094],[ 11.85317284],0.071131176401556917,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 8.61973219],[ 12.15635578],0.071131176401556917,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 8.92368415],[ 12.21731422],0.071131176401556917,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 7.92247932],[ 12.20327602],0.071131176401556917,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.63918548],[ 7.8156593],[ 12.1537023],0.071131176401556917,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.40100775],[ 5.31139704],[ 11.78780338],0.12649110640673517,0.0,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.3978695],[ 5.01092868],[ 11.68238781],0.12649110640673517,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.38808593],[ 4.16045599],[ 8.95154246],0.12649110640673517,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.00208205],[ 4.40872104],[ 12.00796055],0.12649110640673517,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.34557364],[ 4.68624318],[ 11.09386579],0.12649110640673517,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.30889512],[ 4.14771172],[ 9.3773098],0.12649110640673517,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-0.32332391],[ 4.7511116],[ 11.93087635],0.12649110640673517,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-0.0360369],[ 4.4675556],[ 12.02325284],0.12649110640673517,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.26879514],[ 4.01840966],[ 11.07453214],0.12649110640673517,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-0.76249812],[ 5.44483003],[ 12.15830754],0.12649110640673517,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.00520049],[ 1.58357461],[ 5.94932172],0.22493653007613965,0.0,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.03242658],[ 2.80303887],[ 9.1442434],0.22493653007613965,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.00023581],[ 1.26112317],[ 7.11915811],0.22493653007613965,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-3.76798317],[ 1.54242195],[ 8.46014695],0.22493653007613965,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-4.78984797],[ 1.27062367],[ 6.79423689],0.22493653007613965,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 0.00215008],[ 1.57347518],[ 12.13408014],0.22493653007613965,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-5.61066334],[ 1.36547657],[ 11.57358841],0.22493653007613965,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-2.83712628],[ 1.48295004],[ 6.25696712],0.22493653007613965,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-2.6187699],[ 3.05393221],[ 12.23530836],0.22493653007613965,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-1.60347112],[ 3.35528829],[ 11.74528504],0.22493653007613965,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-1.6763918],[ 0.62170897],[ 7.76684978],0.40000000000000002,0.0,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-4.26364631],[ 1.1621183],[ 5.07665579],0.40000000000000002,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-2.54752769],[ 1.14346434],[ 4.84502171],0.40000000000000002,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-2.97728259],[ 0.4177978],[ 6.64350473],0.40000000000000002,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-1.73994503],[ 1.70245026],[ 5.57257259],0.40000000000000002,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-1.58007736],[ 1.71103985],[ 6.42772663],0.40000000000000002,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-7.32695264],[ 0.37757429],[ 5.7883488],0.40000000000000002,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-1.34701767],[ 0.34790942],[ 4.72494256],0.40000000000000002,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-0.58121889],[ 0.22276548],[ 5.15067352],0.40000000000000002,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[-3.11492269],[ 1.72456969],[ 6.84440232],0.40000000000000002,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  1.05555556]
[ 3.38410031],[ 3.38410031],[ 3.38410031],0.0,0.0,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 3.38410031],[ 3.38410031],0.0,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 3.38410031],[ 3.38410031],0.0,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 3.38410031],[ 3.38410031],0.0,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 3.38410031],[ 3.38410031],0.0,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 3.38410031],[ 3.38410031],0.0,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 3.38410031],[ 3.38410031],0.0,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 3.38410031],[ 3.38410031],0.0,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 3.38410031],[ 3.38410031],0.0,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 3.38410031],[ 3.38410031],0.0,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 10.42094464],[ 12.24236736],0.0040000000000000001,0.0,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 10.41395748],[ 12.24224988],0.0040000000000000001,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 10.40851624],[ 12.24215581],0.0040000000000000001,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 10.3988332],[ 12.24198267],0.0040000000000000001,0.012649110640673518,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 10.38159244],[ 12.24165571],0.0040000000000000001,0.022493653007613964,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 10.35086793],[ 12.24101046],0.0040000000000000001,0.040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 10.29603847],[ 12.2396411],0.0040000000000000001,0.071131176401556917,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 10.19800675],[ 12.2363865],0.0040000000000000001,0.12649110640673517,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 10.0224219],[ 12.22731253],0.0040000000000000001,0.22493653007613965,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 9.70834861],[ 12.19679485],0.0040000000000000001,0.40000000000000002,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 11.17993456],[ 12.24511398],0.007113117640155691,0.0,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 11.17592497],[ 12.24511368],0.007113117640155691,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
[ 3.38410031],[ 11.17280076],[ 12.24511343],0.007113117640155691,0.007113117640155691,Plateau3D,SteepestDescent,[-1.05555556  1.47777778]
