min,mean,max,learning_rate,inertia,ff,opt,sp
[ 11.47386505],[ 12.24243973],[ 12.24243973],,,Plateau3D,HillClimber,[-0.21111111  1.47777778]
[ 9.69320592],[ 12.23773234],[ 12.23773234],,,Plateau3D,HillClimber,[-0.21111111  1.9       ]
[-8.56307993],[ 0.54387592],[ 8.77366192],,,Plateau3D,HillClimber,[ 0.21111111 -1.9       ]
[-9.54368925],[ 2.40856023],[ 5.13600792],,,Plateau3D,HillClimber,[ 0.21111111 -1.47777778]
[-3.95046391],[ 4.55617075],[ 5.12390169],,,Plateau3D,HillClimber,[ 0.21111111 -1.05555556]
[ 0.78744122],[ 5.11590604],[ 5.14703894],,,Plateau3D,HillClimber,[ 0.21111111 -0.63333333]
[ 0.82233199],[ 4.89663506],[ 5.15407962],,,Plateau3D,HillClimber,[ 0.21111111 -0.21111111]
[ 0.10691972],[ 3.65219876],[ 5.1457218],,,Plateau3D,HillClimber,[ 0.21111111  0.21111111]
[ 0.83631805],[ 10.70542467],[ 12.18891673],,,Plateau3D,HillClimber,[ 0.21111111  0.63333333]
[ 6.07807061],[ 12.16306663],[ 12.22263786],,,Plateau3D,HillClimber,[ 0.21111111  1.05555556]
[ 11.44665254],[ 12.24249865],[ 12.24249865],,,Plateau3D,HillClimber,[ 0.21111111  1.47777778]
[ 9.92388805],[ 12.23856501],[ 12.23856501],,,Plateau3D,HillClimber,[ 0.21111111  1.9       ]
[-6.53274068],[ 0.75900907],[ 5.51016553],,,Plateau3D,HillClimber,[ 0.63333333 -1.9       ]
[-7.54033871],[ 2.76179524],[ 5.51642731],,,Plateau3D,HillClimber,[ 0.63333333 -1.47777778]
[-3.54035402],[ 4.15364335],[ 5.51788938],,,Plateau3D,HillClimber,[ 0.63333333 -1.05555556]
[ 0.48684695],[ 5.03411025],[ 5.51457252],,,Plateau3D,HillClimber,[ 0.63333333 -0.63333333]
[ 1.41723462],[ 5.47504448],[ 5.50651348],,,Plateau3D,HillClimber,[ 0.63333333 -0.21111111]
[ 1.3273027],[ 5.48168325],[ 5.5138971],,,Plateau3D,HillClimber,[ 0.63333333  0.21111111]
[ 1.60816858],[ 4.93710748],[ 5.51775737],,,Plateau3D,HillClimber,[ 0.63333333  0.63333333]
[ 4.84225462],[ 11.70182651],[ 12.21033494],,,Plateau3D,HillClimber,[ 0.63333333  1.05555556]
[ 8.42343594],[ 12.23098017],[ 12.23098017],,,Plateau3D,HillClimber,[ 0.63333333  1.47777778]
[ 7.66746097],[ 12.10347116],[ 12.22784928],,,Plateau3D,HillClimber,[ 0.63333333  1.9       ]
[-3.16705124],[ 1.06346292],[ 5.49302792],,,Plateau3D,HillClimber,[ 1.05555556 -1.9       ]
[-3.36862746],[ 3.22749163],[ 5.49826723],,,Plateau3D,HillClimber,[ 1.05555556 -1.47777778]
[-0.55350492],[ 4.89000503],[ 5.50048794],,,Plateau3D,HillClimber,[ 1.05555556 -1.05555556]
[ 2.8530079],[ 5.40894738],[ 5.49799455],,,Plateau3D,HillClimber,[ 1.05555556 -0.63333333]
[ 4.57083991],[ 5.49082255],[ 5.49082255],,,Plateau3D,HillClimber,[ 1.05555556 -0.21111111]
[ 4.64342525],[ 5.49577363],[ 5.49577363],,,Plateau3D,HillClimber,[ 1.05555556  0.21111111]
[ 3.71981317],[ 5.46355801],[ 5.49996845],,,Plateau3D,HillClimber,[ 1.05555556  0.63333333]
[ 3.957365],[ 9.98603605],[ 12.2024754],,,Plateau3D,HillClimber,[ 1.05555556  1.05555556]
[ 4.94390516],[ 11.13400443],[ 12.22040594],,,Plateau3D,HillClimber,[ 1.05555556  1.47777778]
[ 4.78778932],[ 11.28289415],[ 12.21460524],,,Plateau3D,HillClimber,[ 1.05555556  1.9       ]
[-0.95173352],[ 2.16618622],[ 5.51162697],,,Plateau3D,HillClimber,[ 1.47777778 -1.9       ]
[-0.70094827],[ 3.65977531],[ 5.51639397],,,Plateau3D,HillClimber,[ 1.47777778 -1.47777778]
[ 1.00332935],[ 4.90532623],[ 5.51625221],,,Plateau3D,HillClimber,[ 1.47777778 -1.05555556]
[ 3.31036822],[ 5.5005822],[ 5.511224],,,Plateau3D,HillClimber,[ 1.47777778 -0.63333333]
[ 4.90844284],[ 5.50739999],[ 5.50739999],,,Plateau3D,HillClimber,[ 1.47777778 -0.21111111]
[ 5.17378626],[ 5.49599766],[ 5.51462484],,,Plateau3D,HillClimber,[ 1.47777778  0.21111111]
[ 4.25262571],[ 5.38895447],[ 5.51693567],,,Plateau3D,HillClimber,[ 1.47777778  0.63333333]
[ 3.18190203],[ 5.12097111],[ 5.51434687],,,Plateau3D,HillClimber,[ 1.47777778  1.05555556]
[ 2.39512393],[ 9.09360353],[ 12.23803201],,,Plateau3D,HillClimber,[ 1.47777778  1.47777778]
[ 2.08778792],[ 9.19517902],[ 12.23295048],,,Plateau3D,HillClimber,[ 1.47777778  1.9       ]
[-0.16167303],[ 2.53400612],[ 5.5191066],,,Plateau3D,HillClimber,[ 1.9 -1.9]
[ 0.04419661],[ 3.6951975],[ 5.52443231],,,Plateau3D,HillClimber,[ 1.9        -1.47777778]
[ 0.78201203],[ 4.46116303],[ 5.52488328],,,Plateau3D,HillClimber,[ 1.9        -1.05555556]
[ 1.86974756],[ 5.13906151],[ 5.52048127],,,Plateau3D,HillClimber,[ 1.9        -0.63333333]
