min,mean,max,ff,opt,max_iterations,pop_size,select_perc,crossover_type,mutation_prob
-0.27495544427589186,10.420029755202972,10.420029755202975,Plateau3D,genetic,50,10,0.1,onepoint,0.01
-0.0002304118781052705,-4.439341718502979e-05,-4.439341718502982e-05,SquaredError2D,genetic,50,10,0.1,onepoint,0.01
1.8159116658811856,1.9999638828349438,1.9999638828349438,Trimodal2D,genetic,50,10,0.1,onepoint,0.01
-2.3299049802098417,5.044610064119152,5.044610064119151,Plateau3D,genetic,50,10,0.1,twopoint,0.01
-0.17343347283652255,-2.9604463496622444e-05,-2.960446349662244e-05,SquaredError2D,genetic,50,10,0.1,twopoint,0.01
1.8393543017164204,1.9863620600531735,1.9863620600531737,Trimodal2D,genetic,50,10,0.1,twopoint,0.01
0.2349646786481048,8.769445765757144,8.769445765757137,Plateau3D,genetic,50,10,0.1,threepoint,0.01
-2.7239833825712823,-0.37315565569751136,-0.3731556556975111,SquaredError2D,genetic,50,10,0.1,threepoint,0.01
1.9364193178154911,1.9551890082928551,1.9551890082928558,Trimodal2D,genetic,50,10,0.1,threepoint,0.01
-1.1843003520753081,11.621192988497544,11.621192988497544,Plateau3D,genetic,50,10,0.1,mean,0.01
-0.9115034284504857,-0.4995643761144743,-0.4995643761144744,SquaredError2D,genetic,50,10,0.1,mean,0.01
1.4983281235431578,1.99970595391541,1.9997059539154098,Trimodal2D,genetic,50,10,0.1,mean,0.01
0.36016595059421597,5.434549583313996,5.434549583313995,Plateau3D,genetic,50,10,0.1,fitnessmean,0.01
-0.6032376651349073,-0.06532293842517158,-0.0653229384251716,SquaredError2D,genetic,50,10,0.1,fitnessmean,0.01
1.9859365650234537,1.985936565023454,1.9859365650234537,Trimodal2D,genetic,50,10,0.1,fitnessmean,0.01
0.5587575884591697,4.821242609044979,4.821701483919318,Plateau3D,genetic,50,10,0.1,randomweight,0.01
-0.17263045387521136,-0.00010027228245163363,-2.0024621915498082e-141,SquaredError2D,genetic,50,10,0.1,randomweight,0.01
1.8284113746216184,1.999384273140925,1.9999984852743942,Trimodal2D,genetic,50,10,0.1,randomweight,0.01
1.5877862848347852,4.9318419132195945,4.931841913219596,Plateau3D,genetic,50,10,0.1,onepoint,0.1
-1.7410629670521833,-0.00330755211601704,-0.0033075521160170376,SquaredError2D,genetic,50,10,0.1,onepoint,0.1
1.8924827710521042,1.9969707251519475,1.9969707251519477,Trimodal2D,genetic,50,10,0.1,onepoint,0.1
0.7076566880566812,5.347226292143627,5.347226292143627,Plateau3D,genetic,50,10,0.1,twopoint,0.1
-0.056301587557904764,-0.041432940552865685,-0.04143294055286565,SquaredError2D,genetic,50,10,0.1,twopoint,0.1
1.5147165627867403,1.9771217514161374,1.9771217514161386,Trimodal2D,genetic,50,10,0.1,twopoint,0.1
2.1772540434923524,3.613721184420795,3.6137211844207946,Plateau3D,genetic,50,10,0.1,threepoint,0.1
-0.019326308254948063,-0.019326308254948077,-0.019326308254948063,SquaredError2D,genetic,50,10,0.1,threepoint,0.1
1.8889301011071673,1.997218845686983,1.9972188456869835,Trimodal2D,genetic,50,10,0.1,threepoint,0.1
-3.8873841357019865,2.8079039853123415,2.8079039853123406,Plateau3D,genetic,50,10,0.1,mean,0.1
-1.0815859353313235,-0.010358534540181645,-0.01035853454018164,SquaredError2D,genetic,50,10,0.1,mean,0.1
1.9999726684783894,1.999972668478389,1.9999726684783894,Trimodal2D,genetic,50,10,0.1,mean,0.1
-3.1750931846806947,7.562026078960868,7.562026078960866,Plateau3D,genetic,50,10,0.1,fitnessmean,0.1
-1.3195362460537383,-0.027807418004273297,-0.02780741800427329,SquaredError2D,genetic,50,10,0.1,fitnessmean,0.1
1.9563843568679193,1.956384356867918,1.9563843568679193,Trimodal2D,genetic,50,10,0.1,fitnessmean,0.1
2.005850202441016,11.39962130299826,11.399757172768057,Plateau3D,genetic,50,10,0.1,randomweight,0.1
-2.3937508240631433,-1.0601228197602415e-05,-1.4681343896417093e-128,SquaredError2D,genetic,50,10,0.1,randomweight,0.1
1.9990416621875646,1.9999312547954862,1.9999989411895662,Trimodal2D,genetic,50,10,0.1,randomweight,0.1
4.590121203463537,4.59012120346354,4.590121203463537,Plateau3D,genetic,50,10,0.1,onepoint,0.3
-0.024330264617316473,-0.0007015954615711261,-0.0007015954615711264,SquaredError2D,genetic,50,10,0.1,onepoint,0.3
1.78294943393695,1.9776895546166662,1.9776895546166668,Trimodal2D,genetic,50,10,0.1,onepoint,0.3
1.4489793426724442,4.535656491182843,4.535656491182844,Plateau3D,genetic,50,10,0.1,twopoint,0.3
-1.2090373342451968,-0.03420973184242415,-0.03420973184242415,SquaredError2D,genetic,50,10,0.1,twopoint,0.3
1.8326217753769292,1.9998044910629613,1.9998044910629627,Trimodal2D,genetic,50,10,0.1,twopoint,0.3
-2.7198400683904147,7.329937893349797,7.329937893349796,Plateau3D,genetic,50,10,0.1,threepoint,0.3
-1.6527107597375097,-0.00034496211564980536,-0.0003449621156498056,SquaredError2D,genetic,50,10,0.1,threepoint,0.3
1.855308798396366,1.9999220316777173,1.999922031677717,Trimodal2D,genetic,50,10,0.1,threepoint,0.3
1.3407706104917232,1.3407706104917227,1.3407706104917232,Plateau3D,genetic,50,10,0.1,mean,0.3
-0.007254979714781307,-8.770934539550766e-05,-8.770934539550763e-05,SquaredError2D,genetic,50,10,0.1,mean,0.3
1.9791071241541411,1.9995023237419405,1.9995023237419391,Trimodal2D,genetic,50,10,0.1,mean,0.3
